Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Nabalus asper rough,rattlesnake-root,G4?,S3,,ST
Najas gracillima thread-like,naiad,G4G5,S3,,ST
Napaea dioica glade,mallow,G4,S2,,ST
Nothoscordum bivalve,crow-poison,G4,S3,,ST
Oenothera perennis small,sundrops,G5,S3,,ST
Oenothera triloba stemless,evening-primrose,G4,SX,,SX
Oligoneuron album prairie,goldenrod,G5,S3,,ST
Ophioglossum engelmannii limestone,adder's-tongue,G5,S3,,ST
Ophioglossum pusillum northern,adder's-tongue,G4,S2,,ST
Orobanche fasciculata clustered,broomrape,G4G5,S1,,SE
Orobanche riparia bottomland,broomrape,G4?,S1,,SE
Orthilia secunda one-sided,wintergreen,G5,SX,,SX
Oryzopsis asperifolia white-grained,mountain-ricegrass,G5,S1,,SE
Oxydendrum arboreum,sourwood,G5,S3,,ST
Pachysandra procumbens,Allegheny spurge,G4G5,S1,,SE
Panicum tuckermanii,Tuckerman's panic-grass,G3G5,S2S3,,ST
Panicum verrucosum warty,panic-grass,G5,S2,,ST
Patis racemosa black-fruit,mountain-ricegrass,G5,S3,,ST
Pediomelum tenuiflorum few-flowered,scurf-pea,G5,SX,,SX
Penstemon canescens gray,beardtongue,G4,S1,,SE
Penstemon deamii,Deam's beardtongue,G2,S2,,SE
Penstemon tubaeflorus tube,penstemon,G5,S1,,SE
Perideridia americana eastern,eulophus,G4,S1,,SE
Persicaria robustior stout,smartweed,G5,S1S2,,SE
Persicaria setacea swamp,smartweed,G5,S1,,SE
Phacelia covillei buttercup,scorpionweed,G3,S1,,SE
Phacelia ranunculacea blue,scorpionweed,G4,S1,,SE
Phemeranthus rugospermus prairie,fame-flower,G3G4,S1,,SE
Phlox amplifolia large-leaved,phlox,G3G5,S3,,ST
Phlox bifida,ssp. stellaria cleft phlox,G5?T3,S1,,SE
Phlox ovata mountain,phlox,G4,S1,,SE
Phlox pilosa,ssp. deamii Deam's phlox,G5T3T4,S1,,SE
Physaria globosa,Short's bladderpod,G2,S1,E,SE
Pinus banksiana jack,pine,G5,S3,,ST
Pinus strobus eastern,white pine,G5,S3,,ST
Piptatheropsis pungens slender,mountain-ricegrass,G5,S1,,SE
Piptochaetium avenaceum blackseed,needlegrass,G5,S3,,ST
Plantago cordata heart-leaved,plantain,G3,S1,,SE
Platanthera aquilonis leafy,northern green orchid,G5,S2,,ST
Platanthera ciliaris yellow-fringe,orchid,G5,S1,,SE
Platanthera dilatata leafy,white orchid,G5,SX,,SX
Platanthera flava,var. flava southern rein orchid,G5T4?Q,S1,,SE
Platanthera hookeri,Hooker's orchid,G4,SX,,SX
Platanthera leucophaea eastern,prairie white-fringed orchid,G2G3,S1,T,SE
Platanthera orbiculata large,roundleaf orchid,G5,SX,,SX
Platanthera psycodes small,purple-fringe orchid,G5,S3,,ST
Poa cuspidata early,bluegrass,G5,SX,,SX
Poa paludigena bog,bluegrass,G3G4,S3,,ST
Poa wolfii,Wolf's bluegrass,G4,S3,,ST
Polygala incarnata pink,milkwort,G5,S1,,SE
Polygala paucifolia gay-wing,milkwort,G5,S1,,SE
Polygonum articulatum eastern,jointweed,G5,S3,,ST
