Common Name,Scientific Name,Status,State
Corsican swallowtail butterfly,Papilio hospiton,Endangered,All
Costa Rican jatropha,Jatropha costaricensis,Endangered,All
Costa Rican puma,Puma (=Felis) concolor costaricensis,Endangered,All
Cotton-top tamarin,Saguinus oedipus,Endangered,All
Coyote ceanothus,Ceanothus ferrisae,Endangered,All
Cracking pearlymussel,Hemistena lata,Endangered,All
Crenulate lead-plant,Amorpha crenulata,Endangered,All
Crescent nail-tailed wallaby,Onychogalea lunata,Endangered,All
Crested caracara (Audubon's) [FL DPS],Caracara plancus audubonii,Threatened,All
Crimson Hawaiian damselfly,Megalagrion leptodemas,Endangered,All
Cuatro Cienegas softshell turtle,Trionyx ater,Endangered,All
Cuba hook-billed kite,Chondrohierax uncinatus wilsonii,Endangered,All
Cuban crocodile,Crocodylus rhombifer,Endangered,All
Cuban ground iguana,Cyclura nubila nubila,Threatened,All
Cuban solenodon,Solenodon cubanus,Endangered,All
Cuba sandhill crane,Grus canadensis nesiotes,Endangered,All
Cui-ui,Chasmistes cujus,Endangered,All
Culebra Island giant anole,Anolis roosevelti,Endangered,All
Cumberland bean (pearlymussel),Villosa trabalis,Endangered,All
Cumberland darter,Etheostoma susanae,Endangered,All
Cumberland elktoe,Alasmidonta atropurpurea,Endangered,All
